================================================================================
重复文件审核清单
================================================================================

【第一类】目录内重复文件（标准版 + 带前缀版并存，可删除带前缀版）
--------------------------------------------------------------------------------
共 28541 个目录，29414 个重复文件

序号     目录名                                      重复文件
--------------------------------------------------------------------------------
1      X19123_佛教密宗力_23                          佛教密宗力_原文.md
2      X538_四分律行事钞选解                            四分律行事钞选解_原文.md
3      X16846_佛教四正勤研究_18                        佛教四正勤研究_原文.md
4      X9086_佛教人权思想_3                           佛教人权思想_原文.md
5      X24905_佛教十忍研究_34                         佛教十忍研究_原文.md
6      X8744_佛教四圣谛研究_2                          佛教四圣谛研究_原文.md
7      X15967_律藏补遗_17                           律藏补遗_原文.md
8      X7078_佛教数息观研究_7                          佛教数息观研究_原文.md
9      X10682_佛教广告心理学_6                         佛教广告心理学_原文.md
10     X17675_佛教文体学_20                          佛教文体学_原文.md
11     X5298_佛教南传历史_4                           佛教南传历史_原文.md
12     X6603_佛教四自在研究_6                          佛教四自在研究_原文.md
13     X6958_佛教发展心理学_7                          佛教发展心理学_原文.md
14     X721_格鲁派本尊论                              格鲁派本尊论_原文.md
15     X16028_佛教译经传_17                          佛教译经传_原文.md
16     X10402_论藏精要_6                            论藏精要_原文.md
17     X3584_佛教八胜处研究                            佛教八胜处研究_原文.md
18     X2624_佛教华严宗谱_8                           佛教华严宗谱_原文.md
19     X12202_佛教管理心理学_9                         佛教管理心理学_原文.md
20     X14443_佛教因缘观研究_13                        佛教因缘观研究_原文.md
21     X1227_佛教密宗修行                             佛教密宗修行_原文.md
22     X11698_佛教决策心理学_8                         佛教决策心理学_原文.md
23     X13111_佛教目录学_11                          佛教目录学_原文.md
24     X24435_佛教四念处研究_33                        佛教四念处研究_原文.md
25     X13295_佛教二十五有研究_11                       佛教二十五有研究_原文.md
26     X4780_佛教密宗禅定_3                           佛教密宗禅定_原文.md
27     X10303_佛教四照用研究_5                         佛教四照用研究_原文.md
28     X3401_佛教云计算                              佛教云计算_原文.md
29     X3257_佛教密宗供养                             佛教密宗供养_原文.md
30     X1492_涅槃经疏_2                             涅槃经疏_原文.md
31     X13876_佛教十遍处研究_12                        佛教十遍处研究_原文.md
32     X21285_佛教生物计算_27                         佛教生物计算_原文.md
33     X18775_佛教环境心理学_22                        佛教环境心理学_原文.md
34     X35_十住毗婆沙论                               十住毘婆沙論_原文.md
34     X35_十住毗婆沙论                               十住毘婆沙論_解讀_學術.md
34     X35_十住毗婆沙论                               十住毘婆沙論_解讀_白話.md
35     X305_释摩诃衍论                               释摩诃衍论_原文.md
35     X305_释摩诃衍论                               释摩诃衍论_解讀_學術.md
35     X305_释摩诃衍论                               释摩诃衍论_解讀_白話.md
36     X27072_佛教四无所畏研究_38                       佛教四无所畏研究_原文.md
37     X15304_佛教三十二应研究_15                       佛教三十二应研究_原文.md
38     X4653_佛教十遍处研究_2                          佛教十遍处研究_原文.md
39     X24919_佛教八十四相研究_34                       佛教八十四相研究_原文.md
40     X1476_佛教日本经典_1                           佛教日本经典_原文.md
41     X10666_佛教心理治疗_6                          佛教心理治疗_原文.md
42     X3343_佛教解构主义                             佛教解构主义_原文.md
43     X8137_佛教心理咨询_1                           佛教心理咨询_原文.md
44     X51_大乘法界无差别论                             大乘法界無差別論_原文.md
44     X51_大乘法界无差别论                             大乘法界無差別論_解讀_學術.md
44     X51_大乘法界无差别论                             大乘法界無差別論_解讀_白話.md
45     X8657_佛教消费心理学_2                          佛教消费心理学_原文.md
46     X221_楞严经疏解                               楞严经疏解_原文.md
46     X221_楞严经疏解                               楞严经疏解_解讀_學術.md
46     X221_楞严经疏解                               楞严经疏解_解讀_白話.md
47     X8224_佛教十六罗汉研究_1                         佛教十六罗汉研究_原文.md
48     X4388_佛教数据学_2                            佛教数据学_原文.md
49     X12569_佛教汉传经典_10                         佛教汉传经典_原文.md
50     X22809_佛教心理病理学_30                        佛教心理病理学_原文.md
51     X3478_佛教十信研究                             佛教十信研究_原文.md
52     X16876_佛教四摄受研究_18                        佛教四摄受研究_原文.md
53     X109_文殊师利根本仪轨疏                           文殊师利根本仪轨疏_原文.md
54     X26328_佛教计算机视觉_37                        佛教计算机视觉_原文.md
55     X739_宁玛派大圆满妙音休息                          宁玛派大圆满妙音休息_原文.md
56     X3051_佛教藏传经典_10                          佛教藏传经典_原文.md
57     X27262_佛教泰国经典_39                         佛教泰国经典_原文.md
58     X21214_佛教语义学_27                          佛教语义学_原文.md
59     X12968_佛教经济学_11                          佛教经济学_原文.md
60     X5896_佛教美学_5                             佛教美学_原文.md
61     X18566_佛教三论宗谱_22                         佛教三论宗谱_原文.md
62     X13226_佛教灾难心理学_11                        佛教灾难心理学_原文.md
63     X10323_佛教四空定研究_5                         佛教四空定研究_原文.md
64     X1713_佛教寓言_3                             佛教寓言_原文.md
65     X3099_般若心经_11                            般若心经_原文.md
66     X11759_佛教十八不共法研究_8                       佛教十八不共法研究_原文.md
67     X16579_佛教密宗息灾_18                         佛教密宗息灾_原文.md
68     X20063_佛教小说_25                           佛教小说_原文.md
69     X23312_佛教神经科学_31                         佛教神经科学_原文.md
70     X21796_佛教心理生理学_28                        佛教心理生理学_原文.md
71     X9481_佛教密宗灌顶_4                           佛教密宗灌顶_原文.md
72     X13485_佛教小说_12                           佛教小说_原文.md
73     X13382_佛教四护净研究_11                        佛教四护净研究_原文.md
74     X22406_佛教四圣谛研究_29                        佛教四圣谛研究_原文.md
75     X8331_佛教四依止研究_1                          佛教四依止研究_原文.md
76     X27531_佛教九想研究_39                         佛教九想研究_原文.md
77     X25818_佛教机器学习_36                         佛教机器学习_原文.md
78     X17410_佛教四禅八定研究_19                       佛教四禅八定研究_原文.md
79     X5740_佛教天台宗谱_5                           佛教天台宗谱_原文.md
80     X24605_佛教社会学_34                          佛教社会学_原文.md
81     X25484_佛教四料拣研究_35                        佛教四料拣研究_原文.md
82     X8022_佛教汉传节日_1                           佛教汉传节日_原文.md
83     X12200_佛教广告心理学_9                         佛教广告心理学_原文.md
84     X4863_佛教女性主义_3                           佛教女性主义_原文.md
85     X16280_佛教涅槃研究_17                         佛教涅槃研究_原文.md
86     X21601_佛教律宗谱_28                          佛教律宗谱_原文.md
87     X946_禅宗宗门见性因缘注                           禅宗宗门见性因缘注_原文.md
88     X9015_佛教南传艺术_3                           佛教南传艺术_原文.md
89     X12863_佛教八胜处研究_10                        佛教八胜处研究_原文.md
90     X23415_佛教二十五有研究_31                       佛教二十五有研究_原文.md
91     X13562_佛教南传论书_12                         佛教南传论书_原文.md
92     X13472_佛教心理学_12                          佛教心理学_原文.md
93     X17726_佛教计算机视觉_20                        佛教计算机视觉_原文.md
94     X7496_佛教南传节日                             佛教南传节日_原文.md
95     X22524_佛教四无色定研究_29                       佛教四无色定研究_原文.md
96     X19327_佛教人道研究_23                         佛教人道研究_原文.md
97     X7695_佛教十地研究                             佛教十地研究_原文.md
98     X24006_佛教四无量心研究_32                       佛教四无量心研究_原文.md
99     X8505_佛教南传历史_2                           佛教南传历史_原文.md
100    X3565_佛教四究竟研究                            佛教四究竟研究_原文.md
101    X14154_佛教逻辑学_13                          佛教逻辑学_原文.md
102    X23290_佛教神经网络_31                         佛教神经网络_原文.md
103    X11451_佛教政治学_8                           佛教政治学_原文.md
104    X22794_佛教虚拟助手_30                         佛教虚拟助手_原文.md
105    X5808_佛教南传艺术_5                           佛教南传艺术_原文.md
106    X2991_佛教地论宗谱_10                          佛教地论宗谱_原文.md
107    X15806_佛教四无畏研究_16                        佛教四无畏研究_原文.md
108    X3774_佛教密宗慈悲_1                           佛教密宗慈悲_原文.md
109    X20926_佛教四依法研究_26                        佛教四依法研究_原文.md
110    X22062_佛教地理_29                           佛教地理_原文.md
111    X2083_佛教译经传_5                            佛教译经传_原文.md
112    X23396_佛教四无畏研究_31                        佛教四无畏研究_原文.md
113    X8489_佛教密宗布施_2                           佛教密宗布施_原文.md
114    X12867_佛教不净观研究_10                        佛教不净观研究_原文.md
115    X22968_佛教四无所畏研究_30                       佛教四无所畏研究_原文.md
116    X26003_佛教四无畏研究_36                        佛教四无畏研究_原文.md
117    X189_百论疏                                 百论疏_原文.md
118    X4923_佛教神经计算_3                           佛教神经计算_原文.md
119    X2028_华严经论_5                             华严经论_原文.md
120    X18629_佛教南传艺术_22                         佛教南传艺术_原文.md
121    X12279_佛教二十八宿研究_9                        佛教二十八宿研究_原文.md
122    X9552_佛教泰国经典_4                           佛教泰国经典_原文.md
123    X27162_佛教禅宗灯录_39                         佛教禅宗灯录_原文.md
124    X27405_佛教正念研究_39                         佛教正念研究_原文.md
125    X17829_佛教十力研究_20                         佛教十力研究_原文.md
126    X13561_佛教南传经典_12                         佛教南传经典_原文.md
127    X481_地藏经疏                                地藏经疏_原文.md
128    X8396_大乘论书_2                             大乘论书_原文.md
129    X4415_佛教量子计算_2                           佛教量子计算_原文.md
130    X23487_佛教十遍处研究_31                        佛教十遍处研究_原文.md
131    X7668_佛教超越心理学                            佛教超越心理学_原文.md
132    X366_麦彭仁波切现观庄严论                          麦彭仁波切现观庄严论_原文.md
133    X9686_佛教创伤心理学_4                          佛教创伤心理学_原文.md
134    X9720_佛教五道研究_4                           佛教五道研究_原文.md
135    X27656_佛教传说_40                           佛教传说_原文.md
136    X5405_佛教虚拟现实_4                           佛教虚拟现实_原文.md
137    X6945_佛教量子计算_7                           佛教量子计算_原文.md
138    X12485_佛教求法传_10                          佛教求法传_原文.md
139    X12383_佛教四照用研究_9                         佛教四照用研究_原文.md
140    X27296_佛教解构主义_39                         佛教解构主义_原文.md
141    X18550_佛教劝善书_22                          佛教劝善书_原文.md
142    X22623_佛教禅宗语录_30                         佛教禅宗语录_原文.md
143    X13729_佛教航空心理学_12                        佛教航空心理学_原文.md
144    X3756_佛教密宗延寿_1                           佛教密宗延寿_原文.md
145    X15750_佛教金融心理学_16                        佛教金融心理学_原文.md
146    X27558_佛教四摄受研究_39                        佛教四摄受研究_原文.md
147    X5815_佛教藏传寺院_5                           佛教藏传寺院_原文.md
